id	scope	lifecycle	destination	artifact	owner	install_method	purpose	privilege	conflict_policy	removal_method	source
PKG-MAIN-BINARY	system	package-managed	/usr/bin/taskmanager	target/release/taskforest-g	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec	GPUI compatibility executable	package transaction	package manager owns path; no overwrite outside package	package manager transaction (pacman -Rns taskforest-git / dpkg -r taskforest / rpm -e taskforest)	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec
PKG-GPUI-BINARY	system	package-managed	/usr/bin/taskforest-g	target/release/taskforest-g	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec	TaskForestG GPUI executable	package transaction	package manager owns path; no overwrite outside package	package manager transaction (pacman -Rns taskforest-git / dpkg -r taskforest / rpm -e taskforest)	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec
PKG-SETUP-HELPER	system	package-managed	/usr/libexec/taskforest-setup-helper	target/release/taskmanager-setup-helper	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec	first-run udev-rule helper	package transaction	package manager owns path; no overwrite outside package	package manager transaction (pacman -Rns taskforest-git / dpkg -r taskforest / rpm -e taskforest)	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec
PKG-GPUI-DESKTOP	system	package-managed	/usr/share/applications/io.github.YellowWhiteBlackCat.TaskForestG.desktop	packaging/linux/io.github.YellowWhiteBlackCat.TaskForestG.desktop	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec	TaskForestG freedesktop application entry	package transaction	package manager owns path; no overwrite outside package	package manager transaction (pacman -Rns taskforest-git / dpkg -r taskforest / rpm -e taskforest)	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec
PKG-GPUI-METAINFO	system	package-managed	/usr/share/metainfo/io.github.YellowWhiteBlackCat.TaskForestG.metainfo.xml	packaging/linux/io.github.YellowWhiteBlackCat.TaskForestG.metainfo.xml	root	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec	TaskForestG AppStream metadata	package transaction	package manager owns path; no overwrite outside package	package manager transaction (pacman -Rns taskforest-git / dpkg -r taskforest / rpm -e taskforest)	packaging/arch/PKGBUILD or packaging/rpm/taskforest.spec
PKG-ICON	system	package-managed	/usr/share/icons/hicolor/scalable/apps/taskforest-taskboard.svg	packaging/linux/io.github.YellowWhiteBlackCat.TaskForest.svg	root	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec	TaskForest process-monitor icon	package transaction	shared path; taskforest-common is the single DEB/RPM owner and the monolithic Arch package ships its own copy; a package transaction owns the installed copy; never overwrite a foreign file	package manager transaction for the owning package (pacman -Rns taskforest-git / dpkg -r taskforest-common / rpm -e taskforest-common)	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec
PKG-ICON-16	system	package-managed	/usr/share/icons/hicolor/16x16/apps/taskforest-taskboard.png	packaging/linux/icons/hicolor/16x16/apps/taskforest-taskboard.png	root	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec	TaskForest hicolor 16px process-monitor icon	package transaction	shared path; taskforest-common is the single DEB/RPM owner and the monolithic Arch package ships its own copy; a package transaction owns the installed copy; never overwrite a foreign file	package manager transaction for the owning package (pacman -Rns taskforest-git / dpkg -r taskforest-common / rpm -e taskforest-common)	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec
PKG-ICON-24	system	package-managed	/usr/share/icons/hicolor/24x24/apps/taskforest-taskboard.png	packaging/linux/icons/hicolor/24x24/apps/taskforest-taskboard.png	root	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec	TaskForest hicolor 24px process-monitor icon	package transaction	shared path; taskforest-common is the single DEB/RPM owner and the monolithic Arch package ships its own copy; a package transaction owns the installed copy; never overwrite a foreign file	package manager transaction for the owning package (pacman -Rns taskforest-git / dpkg -r taskforest-common / rpm -e taskforest-common)	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec
PKG-ICON-32	system	package-managed	/usr/share/icons/hicolor/32x32/apps/taskforest-taskboard.png	packaging/linux/icons/hicolor/32x32/apps/taskforest-taskboard.png	root	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec	TaskForest hicolor 32px process-monitor icon	package transaction	shared path; taskforest-common is the single DEB/RPM owner and the monolithic Arch package ships its own copy; a package transaction owns the installed copy; never overwrite a foreign file	package manager transaction for the owning package (pacman -Rns taskforest-git / dpkg -r taskforest-common / rpm -e taskforest-common)	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec
PKG-ICON-48	system	package-managed	/usr/share/icons/hicolor/48x48/apps/taskforest-taskboard.png	packaging/linux/icons/hicolor/48x48/apps/taskforest-taskboard.png	root	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec	TaskForest hicolor 48px process-monitor icon	package transaction	shared path; taskforest-common is the single DEB/RPM owner and the monolithic Arch package ships its own copy; a package transaction owns the installed copy; never overwrite a foreign file	package manager transaction for the owning package (pacman -Rns taskforest-git / dpkg -r taskforest-common / rpm -e taskforest-common)	packaging/arch/PKGBUILD or packaging/debian/build-deb-common.sh or packaging/rpm/taskforest-common.spec
