# cross-frontend evidence manifest — P4 pilot (W3-C)
# Committed declaration data only.  An anchor names a behavior test that MUST be
# discoverable by `cargo nextest list`; a test id is never derived from source text.
# evidence_kind: behavior | visual | none | pending.  pending = no discoverable
# anchor has been assigned yet; it is reported/counted, never treated as dangling.
# contract_tag is a stable id of the Rust `ContractTag` enum
# (crates/taskmanager-ui-contract/src/conformance.rs), which is the single
# authority.  The Rust conformance test reads this file and rejects any unknown
# tag; never add a second copy of the tag set in TSV/Python/bash.
subject_kind	subject_id	frontend	status	reason	contract_tag	evidence_kind	test_id_or_scenario	target_or_validator
facet	global-shortcut-f5	gpui	ready		keyboard	behavior	gpui_app::root::keyboard::tests::f5_refreshes_processes_without_panic	gpui
facet	global-shortcut-f5	iced	ready		keyboard	behavior	keys::tests::fixed_keys_map_onto_the_shared_vocabulary	iced
facet	global-shortcut-f5	tui	ready		keyboard	pending	-	-
facet	global-shortcut-f5	bevy	ready		keyboard	pending	-	-
facet	global-shortcut-f9	gpui	ready		keyboard	behavior	gpui_app::root::keyboard::tests::f9_toggles_sidebar_visibility	gpui
facet	global-shortcut-f9	iced	ready		keyboard	behavior	app::tests::visual_navigation::f9_toggles_the_performance_sidebar	iced
facet	global-shortcut-f9	tui	ready		keyboard	behavior	runtime::tests::page_navigation::f9_is_consumed_without_creating_a_terminal_sidebar	tui
facet	global-shortcut-f9	bevy	ready		keyboard	behavior	input::tests::f9_toggles_performance_sidebar_visibility	bevy
facet	global-shortcut-alt-digits	gpui	ready		keyboard	behavior	gpui_app::root::keyboard::tests::alt_digits_navigate_pages	gpui
facet	global-shortcut-alt-digits	iced	ready		keyboard	behavior	keys::tests::alt_digit_chords_select_pages	iced
facet	global-shortcut-alt-digits	tui	ready		keyboard	behavior	runtime::tests::keys_navigation::alt_page_chords_cover_the_four_middle_routes	tui
facet	global-shortcut-alt-digits	bevy	ready		keyboard	behavior	app::tests::every_shared_page_chord_routes_and_system_is_formal	bevy
facet	global-shortcut-esc	gpui	ready		cancel	behavior	gpui_app::root::keyboard::tests::escape_dismisses_confirmation_modal	gpui
facet	global-shortcut-esc	iced	ready		cancel	behavior	app::tests_parity::modal_escape_and_close_messages_use_the_shared_overlay_lifecycle	iced
facet	global-shortcut-esc	tui	ready		cancel	behavior	runtime::tests::control_feedback::esc_key_dismisses_open_modal_before_feedback_notice	tui
facet	global-shortcut-esc	bevy	ready		cancel	behavior	input::tests::escape_dismisses_the_gate_without_an_effect	bevy
facet	global-shortcut-ctrl-f	gpui	ready		keyboard	behavior	keyboard_behavior::mc03_apps_search_case_ctrl_f_focuses_search_and_tab_leaves_input	gpui
facet	global-shortcut-ctrl-f	iced	ready		keyboard	behavior	keys::tests::ctrl_chords_and_characters_route	iced
facet	global-shortcut-ctrl-f	tui	ready		keyboard	pending	-	-
facet	global-shortcut-ctrl-f	bevy	ready		keyboard	behavior	input_contract::tests::focus_traversal_and_process_shortcuts_honor_scope_and_text_input	bevy
facet	global-shortcut-ctrl-space	gpui	ready		keyboard	behavior	gpui_app::root::keyboard::tests::ctrl_space_toggles_telemetry_pause	gpui
