# Feature-level P4 evidence anchors for the P5 three-axis ledger (G2 closure).
#
# One row per `(feature_id, frontend)`: the hand-declared behaviour test that
# backs the shape's delivery claim for that feature.  The anchor must be a real
# nextest test id, exactly as `cargo nextest list` reports it; the resolver
# (scripts/parity/resolve_frontend_evidence.py) checks set membership (R4) and
# fails the run when a referenced test is renamed or deleted.
#
# Columns (TAB separated):
#   feature_id  stable `FeatureId` id; the vocabulary authority is the Rust
#               `FeatureId::ALL` registry in taskmanager-ui-contract (the
#               contract test rejects an unknown id, mirroring `ContractTag`).
#   frontend    gpui | iced | tui | bevy
#   test_id     the nextest test path, or `-` on a pending row
#   status      anchored | pending
#   note        `-` on an anchored row; the honest gap on a pending row
#
# Discipline (same as the facet manifest and the unified matrix):
#   * anchors are declared by hand and verified against discovery; a test id is
#     NEVER derived by scanning Rust source;
#   * `pending` is not a pass: it records that this `(feature, frontend)` pair
#     was surveyed and no discoverable behaviour test exists yet, so the folded
#     cell stays refused by G2 with this note as the recorded gap;
#   * a row absent from this table is simply not yet surveyed; `Ready` still
#     requires a committed anchor, so absence is never a silent delivery claim.
#
# First anchored batch (2026-09-22): the four features every frontend really
# renders and every Linux source lane registers as `Present` -
# `handles.enumeration`, `threads.topology`, `services.lifecycle-control`,
# `services.dependency-dag`.  The anchor proves the shape's delivered surface
# for that feature (the P1 semantic specification owns "what counts as
# delivered"; this table owns "a real test exists and resolves").

# Second anchored batch (2026-09-22, W14-A): eight further features whose
# delivered surface exists on the frontends listed below and whose whole
# `Requires` capability set is `Present` on the Linux source lane -
# `gpu.engine-utilization`, `memory.breakdown-rss-pss`,
# `storage.device-topology`, `services.inventory`,
# `security.posix-capabilities`, `security.sandbox-detection`,
# `hardware.heterogeneous-cores`, `hardware.core-frequency`.  Every anchor was
# hand-verified against the feature's semantic specification (the P1
# `delivery_definition`) and checked by membership in `cargo nextest list`.
# A frontend with no test proving the shape's delivered surface stays
# unanchored; a surveyed near-miss is recorded below as an explicit gap.

# Third anchored batch (2026-09-22, W15-A): six further cells whose whole
# `Requires` capability set is `Present` on the Linux source lane and whose
# delivered surface a real frame/panel test proves -
# `storage.smart-health` (iced/tui), `storage.iops-queue-latency` (tui),
# `power.battery-inventory` (iced/tui), and `services.log-stream` (iced).
# Every anchor was hand-verified clause by clause against that feature's
# `delivery_definition`: the receipt names the clauses each anchor proves and
# the clauses that stay unasserted.  The same survey re-read the remaining
# target features and records each real near-miss as an explicit `pending`
# row (swap-throughput rates, the remaining IOPS/queue/latency rows, the GPUI
# SMART/battery/log surfaces, the thermal-zone source traversal, the
# process-details fault and huge-page counters, and the Bevy namespace audit);
# a feature with no test touching its surface at all stays without a row.
feature_id	frontend	test_id	status	note
handles.enumeration	gpui	gpui_app::process_insights::view::open_files::tests::populated_open_files_render_with_unreadable_marker	anchored	-
handles.enumeration	iced	ui::insights::tests::open_file_row_marks_an_unreadable_target_not_blank	anchored	-
handles.enumeration	tui	ui::process_details::insights::tests::open_files_preview_renders_count_unreadable_and_rows	anchored	-
handles.enumeration	bevy	pages::processes::details::tests::open_files_summary_empty_unreadable_and_populated	anchored	-
threads.topology	gpui	gpui_app::process_insights::view::threads::tests::populated_threads_render_with_missing_cpu_dash	anchored	-
threads.topology	iced	ui::insights::tests::thread_cpu_helpers_keep_a_missing_value_honest	anchored	-
threads.topology	tui	ui::process_details::insights::tests::thread_preview_renders_header_rows_and_ellipsis	anchored	-
threads.topology	bevy	pages::processes::details::tests::threads_summary_empty_and_populated_with_gap_honesty	anchored	-
services.lifecycle-control	gpui	gpui_app::services_view::tests::service_row_context_menu_offers_all_six_actions	anchored	-
services.lifecycle-control	iced	app::tests::settings_and_service_control_tests::service_control_select_request_confirm_round_trip_reaches_the_port	anchored	-
services.lifecycle-control	tui	runtime::tests::service_control::service_control_round_trip_submits_through_queue_effect	anchored	-
services.lifecycle-control	bevy	pages::services::tests::service_control_buttons_arm_service_actions	anchored	-
services.dependency-dag	gpui	gpui_app::services_view::details_state::tests::details_state_projects_only_the_shared_correlated_dependency_session	anchored	-
services.dependency-dag	iced	app::tests::service_details::service_details_entry_projects_lifecycle_and_dependency_facts	anchored	-
services.dependency-dag	tui	ui::tests::service_details_render::a_resolved_dependency_capture_paints_its_relation_targets	anchored	-
services.dependency-dag	bevy	pages::services::service_dependencies_tests::dependencies_panel_renders_relations_scene	anchored	-
gpu.engine-utilization	gpui	gpui_app::perf_views::gpu_engines_panel::tests::mc04_gpu_panel_case_ready_session_renders_only_the_matching_session_payload	anchored	-
gpu.engine-utilization	iced	ui::perf_devices::tests::gpu_chart_layout_keeps_all_engines_standard_and_only_aggregate_compact	anchored	-
gpu.engine-utilization	tui	ui::perf_gpu::tests::standard_engine_projection_includes_live_and_pmu_rows	anchored	-
memory.breakdown-rss-pss	gpui	processes_view_test::memory_projection_prefers_current_pss_and_falls_back_to_typed_rss	anchored	-
memory.breakdown-rss-pss	iced	ui::tests::pages::apps_resource_projection_preserves_typed_pss_swap_and_measured_zero	anchored	-
memory.breakdown-rss-pss	tui	ui::tests::process_render::apps_table_projects_typed_pss_and_swap_without_zero_fallbacks	anchored	-
storage.device-topology	iced	ui::tests::devices::disk_summary_projects_real_rates_active_time_smart_and_partition_space	anchored	-
storage.device-topology	tui	ui::tests::device_render::disk_detail_section_renders_rates_smart_and_partition_space	anchored	-
