case_id	p0_id	target	paths	capture_scenarios
mc00-page-sweep	P0-MC-00	gui	success|responsive	cpu-gnome-light|processes|services|system
mc00-nav-pointer	P0-MC-00	gui	success|pointer	-
mc00-nav-complete-pointer	P0-MC-00	gui	success|pointer|cancel	settings
mc00-nav-keyboard	P0-MC-00	gui	success|keyboard	keyboard-focus
mc01-dynamic-history	P0-MC-01	lib	success|provider-gap	battery-performance|fan-performance
mc01-generation-recovery	P0-MC-01	lib	success|provider-gap|recovery	battery-performance|fan-performance
mc01-dynamic-readout	P0-MC-01	lib	success	battery-performance|fan-performance
mc02-partition	P0-MC-02	lib	success|failure|responsive	partition-disk-usage|partition-disk-usage-compact
mc02-partition-recovery	P0-MC-02	lib	success|failure|recovery|responsive	partition-disk-usage|partition-disk-usage-compact|device-disconnected
mc02-hotplug	P0-MC-02	lib	success|failure|lifecycle|recovery|responsive	device-disconnected
mc03-apps-doubleclick	P0-MC-03	lib	success|pointer|toggle	apps-group-expanded|apps-group-expanded-compact
mc03-apps-search	P0-MC-03	gui	success|keyboard|focus	keyboard-focus
mc03-app-icon	P0-MC-03	lib	success|failure	apps-identity-matrix|apps-identity-matrix-compact
mc03-swap-truth	P0-MC-03	lib	success|failure	apps-zero-gray
mc04-gpu-layout	P0-MC-04	lib	success|failure|responsive	gpu|gpu-compact
mc04-gpu-metric-families	P0-MC-04	lib	success|failure|responsive	gpu|gpu-compact
mc04-gpu-metric-track	P0-MC-04	lib	success|provider-gap	gpu
mc04-gpu-metric-generation	P0-MC-04	lib	success|lifecycle|failure	gpu
mc04-gpu-panel	P0-MC-04	lib	success|failure	intel-gpu-telemetry
mc04-gpu-unavailable	P0-MC-04	lib	failure	intel-gpu-telemetry
mc04-npu-current	P0-MC-04	lib	success|failure|responsive	system-npu|system-npu-compact
mc05-units	P0-MC-05	gui	success|pointer|isolation	settings|compact-settings
mc05-sidebar-edit	P0-MC-05	gui	success|pointer	sidebar-edit
mc05-sidebar-order	P0-MC-05	gui	success|pointer|responsive	-
mc05-sidebar-keyboard	P0-MC-05	gui	success|keyboard	sidebar-hidden|sidebar-hidden-compact
mc05-color-isolation	P0-MC-05	gui	success|isolation	settings-windows-dark
mc05-switch-isolation	P0-MC-05	gui	success|isolation	settings-switch-focus
mc05-density	P0-MC-05	gui	success|responsive	compact-processes
mc06-ctrl-pause	P0-MC-06	gui	success|keyboard|lifecycle	telemetry-paused|telemetry-paused-compact
mc06-pause-shortcut	P0-MC-06	gui	success|keyboard	telemetry-paused
mc06-system-about	P0-MC-06	gui	success|keyboard|cancel	system-about|system-about-compact
mc06-about	P0-MC-06	gui	success|pointer|cancel	about|about-compact
mc06-first-run	P0-MC-06	gui	success|failure|cancel|pointer	first-run|first-run-compact
mc06-modal-cancel	P0-MC-06	gui	cancel|failure	-
mc06-modal-focus	P0-MC-06	gui	focus|keyboard|cancel	keyboard-focus
mc07-focus-modality	P0-MC-07	gui	success|focus|keyboard|pointer|isolation	keyboard-focus|settings-switch-focus
mc07-compact-matrix	P0-MC-07	lib	responsive|failure	compact-performance|compact-processes|compact-settings
mc07-skins	P0-MC-07	lib	responsive	cpu-gnome-light|cpu-windows-dark|cpu-macos-light|cpu-kde-dark
mc07-capture-readiness	P0-MC-07	lib	evidence|failure	about|about-compact
