# Unified cross-frontend interaction matrix (S4).  Committed declaration data only.
# The three per-frontend matrices in scripts/ remain as compatibility views until S5
# retires them; this file is the single unified list (one row per (frontend, case_id)).
# Columns:
#   subject_kind       `interaction` (schema discriminator; reserved for future
#                      `requirement` rows)
#   case_id            stable case id from the owning frontend's matrix
#   frontend           gpui | iced | tui | bevy
#   p0_id              public requirement id (scripts/interaction_requirements.tsv);
#                      `-` where no requirement mapping is declared yet (Bevy rows)
#   target             gui | lib (matrix semantics preserved)
#   test_name          nextest test path; `-` when the frontend declares the stable
#                      case-prefix channel instead (GPUI: `<case_id>_case_*` with
#                      `-` normalized to `_`)
#   paths              ordered behavior/contract paths (matrix semantics preserved)
#   capture_scenarios  `-` or `|`-joined capture scenario names
#   contract_tag       first `paths` token (the row's primary contract tag); the
#                      resolver checks this equality.  The vocabulary authority is the
#                      Rust ContractTag enum; never copy the tag set into TSV/Python/bash.
#                      Bevy path tokens are folded into that enum (D5); the enum's
#                      conformance test validates this file's tag and path columns.
#   platform           RESERVED P5 axis; empty = frontend axis, opaque here.
# Anchors are declared by hand (transcribed from the per-frontend matrices on
# 2026-09-22) and verified by set membership against `cargo nextest list`; test ids
# are never derived by scanning Rust source.
subject_kind	case_id	frontend	p0_id	target	test_name	paths	capture_scenarios	contract_tag	platform
interaction	mc00-page-sweep	gpui	P0-MC-00	gui	-	success|responsive	cpu-gnome-light|processes|services|system	success	
interaction	mc00-nav-pointer	gpui	P0-MC-00	gui	-	success|pointer	-	success	
interaction	mc00-nav-complete-pointer	gpui	P0-MC-00	gui	-	success|pointer|cancel	settings	success	
interaction	mc00-nav-keyboard	gpui	P0-MC-00	gui	-	success|keyboard	keyboard-focus	success	
interaction	mc01-dynamic-history	gpui	P0-MC-01	lib	-	success|provider-gap	battery-performance|fan-performance	success	
interaction	mc01-generation-recovery	gpui	P0-MC-01	lib	-	success|provider-gap|recovery	battery-performance|fan-performance	success	
interaction	mc01-dynamic-readout	gpui	P0-MC-01	lib	-	success	battery-performance|fan-performance	success	
interaction	mc02-partition	gpui	P0-MC-02	lib	-	success|failure|responsive	partition-disk-usage|partition-disk-usage-compact	success	
interaction	mc02-partition-recovery	gpui	P0-MC-02	lib	-	success|failure|recovery|responsive	partition-disk-usage|partition-disk-usage-compact|device-disconnected	success	
interaction	mc02-hotplug	gpui	P0-MC-02	lib	-	success|failure|lifecycle|recovery|responsive	device-disconnected	success	
interaction	mc03-apps-doubleclick	gpui	P0-MC-03	lib	-	success|pointer|toggle	apps-group-expanded|apps-group-expanded-compact	success	
interaction	mc03-apps-search	gpui	P0-MC-03	gui	-	success|keyboard|focus	keyboard-focus	success	
interaction	mc03-app-icon	gpui	P0-MC-03	lib	-	success|failure	apps-identity-matrix|apps-identity-matrix-compact	success	
interaction	mc03-swap-truth	gpui	P0-MC-03	lib	-	success|failure	apps-zero-gray	success	
interaction	mc04-gpu-layout	gpui	P0-MC-04	lib	-	success|failure|responsive	gpu|gpu-compact	success	
interaction	mc04-gpu-metric-families	gpui	P0-MC-04	lib	-	success|failure|responsive	gpu|gpu-compact	success	
interaction	mc04-gpu-metric-track	gpui	P0-MC-04	lib	-	success|provider-gap	gpu	success	
interaction	mc04-gpu-metric-generation	gpui	P0-MC-04	lib	-	success|lifecycle|failure	gpu	success	
interaction	mc04-gpu-panel	gpui	P0-MC-04	lib	-	success|failure	intel-gpu-telemetry	success	
interaction	mc04-gpu-unavailable	gpui	P0-MC-04	lib	-	failure	intel-gpu-telemetry	failure	
interaction	mc04-npu-current	gpui	P0-MC-04	lib	-	success|failure|responsive	system-npu|system-npu-compact	success	
