case_id	p0_id	target	test_name	paths	capture_scenarios
mc00-page-sweep	P0-MC-00	lib	ui::tests::pages::pages_cover_the_six_shared_pages	success|responsive	cpu|applications|services|system
mc00-nav-pointer	P0-MC-00	lib	app::tests::visual_navigation::page_navigation_persists_the_remember_last_token	success|pointer|lifecycle	-
mc00-nav-keyboard	P0-MC-00	lib	app::alerts::tests::alt_eight_opens_the_alerts_route	success|keyboard	-
mc00-nav-keyboard-normalization	P0-MC-00	lib	keys::tests::alt_digit_chords_select_pages	success|keyboard	-
mc00-nav-keyboard-precedence	P0-MC-00	lib	app::alerts::tests::alt_eight_does_not_open_the_route_beneath_a_modal	keyboard|failure|cancel	-
mc01-battery-fan-windows	P0-MC-01	lib	ui::tests::perf_device_graphs::battery_and_fan_per_device_windows_resolve_and_render	success|provider-gap	battery|fan
mc01-battery-readout	P0-MC-01	lib	ui::tests::battery::battery_summary_lines_projects_real_readouts_and_keeps_unknown_capacity_honest	success|failure	battery
mc01-dynamic-indices	P0-MC-01	lib	ui::tests::devices::performance_rail_keeps_dynamic_device_indices_like_gpui	success|lifecycle|responsive	cpu
mc01-series-epochs	P0-MC-01	lib	app::projection_caches::tests::dual_device_series_is_reused_per_epoch_and_never_crosses_keys	success|recovery	battery|fan
mc02-disk-summary	P0-MC-02	lib	ui::tests::devices::disk_summary_projects_real_rates_active_time_smart_and_partition_space	success	disk
mc02-disk-states	P0-MC-02	lib	ui::tests::devices::disk_section_state_distinguishes_loading_empty_and_ready	success|failure|recovery	disk|disk-compact
mc02-smart-dialog	P0-MC-02	lib	app::tests_parity::disk_smart_dialog_is_a_real_local_view	success|cancel	-
mc02-scan-cancel	P0-MC-02	lib	ui::directory_usage::tests::an_active_scan_of_this_disk_toggles_to_cancel_by_scan_id	cancel	disk
mc03-tree-activation	P0-MC-03	lib	app::tests::activate_tree_node_toggles_subtree_and_selects_parent	success|pointer|toggle	applications
mc03-app-aggregate	P0-MC-03	lib	app::tests::application_aggregate_selection_stays_pidless	success|pointer|toggle	applications
mc03-row-click-modifiers	P0-MC-03	lib	app::tests::row_click_branches_on_live_modifier_state	success|pointer	applications
mc03-search-focus	P0-MC-03	lib	app::tests::selection_keys_do_not_steal_focus_from_the_search_field_or_empty_table	keyboard|focus|failure	-
mc03-column-drag	P0-MC-03	lib	app::update::columns::tests::drag_session_derives_width_from_pointer_deltas	success|pointer	applications-compact
mc03-icons	P0-MC-03	lib	icons::tests::every_semantic_icon_has_an_iced_asset_handle	success|failure	-
